name,theaters,total_gross,release_date,distributor
Ante Sundharaniki,350,620000,2022-06-10,-
Unsilenced,186,613621,2022-01-21,Zhen Pictures
The Mean One,162,612260,2022-12-08,Atlas Distribution Company
HIT: The 2nd Case,280,600000,2022-12-02,-
Official Competition,173,593790,2022-06-17,IFC Films
Gangubai Kathiawadi,0,592000,2022-03-04,Paramount Pictures International
Cuando sea joven,315,588028,2022-09-23,Pantelion Films
"Confess, Fletch",516,538842,2022-09-16,Paramount Pictures
Call Jane,1068,512770,2022-10-28,Roadside Attractions
The Quintessential Quintuplets Movie,910,502000,2022-12-02,Crunchyroll
God's Country,785,493679,2022-09-16,IFC Films
Deep in the Heart: A Texas Wildlife Story,69,480240,2022-06-03,-
The Railway Children Return,923,466391,2022-09-23,Blue Fox Entertainment
Vivo,705,454807,2022-04-25,Fathom Events
Eiffel,308,444814,2022-04-29,Blue Fox Entertainment
Selena2022  Re-release,427,444681,2022-04-07,-
Brian and Charles,279,430635,2022-06-17,Focus Features
Emergency Declaration,42,412196,2022-08-12,Well Go USA Entertainment
Superspreader,235,399370,2022-09-30,-
The Inspection,144,390429,2022-11-18,A24
Alice,169,373043,2022-03-18,Roadside Attractions
